,CO_POSICAO,SG_AREA,CO_ITEM,TX_GABARITO,CO_HABILIDADE,IN_ITEM_ABAN,TX_MOTIVO_ABAN,NU_PARAM_A,NU_PARAM_B,NU_PARAM_C,TX_COR,CO_PROVA,TP_LINGUA,IN_ITEM_ADAPTADO
1305,91,CN,97727,E,18,0,,2.35097,1.00991,0.30639,AMARELA,1086,,0
1349,92,CN,28034,A,18,0,,1.51222,1.41874,0.14908,AMARELA,1086,,0
1348,93,CN,97915,C,24,0,,2.39896,2.76588,0.1897,AMARELA,1086,,0
1347,94,CN,31313,D,2,0,,1.71131,1.42364,0.1615,AMARELA,1086,,0
1346,95,CN,75845,D,1,1,BLG não rodou,,,,AMARELA,1086,,0
1345,96,CN,82765,E,1,0,,0.98394,1.03388,0.00428,AMARELA,1086,,0
1344,97,CN,83901,B,8,0,,0.40583,2.51676,0.00918,AMARELA,1086,,0
1343,98,CN,111431,E,9,0,,3.48192,1.70426,0.15448,AMARELA,1086,,0
1342,99,CN,111613,A,2,0,,3.25053,1.20513,0.08404,AMARELA,1086,,0
1341,100,CN,28632,C,9,0,,1.99451,1.78678,0.12762,AMARELA,1086,,0
1340,101,CN,126560,C,22,0,,2.41581,0.78824,0.19317,AMARELA,1086,,0
1339,102,CN,141503,C,3,0,,2.86161,0.4948,0.1606,AMARELA,1086,,0
1338,103,CN,88655,D,4,0,,3.82953,0.85524,0.11511,AMARELA,1086,,0
1337,104,CN,41054,A,28,0,,1.2012,0.97602,0.22536,AMARELA,1086,,0
1336,105,CN,90130,B,20,0,,1.73494,2.08841,0.27619,AMARELA,1086,,0
1335,106,CN,31381,C,26,0,,1.75013,1.52509,0.16155,AMARELA,1086,,0
1334,107,CN,141731,E,29,0,,1.52512,3.19204,0.11283,AMARELA,1086,,0
1333,108,CN,85445,E,20,0,,4.44898,1.4048,0.15587,AMARELA,1086,,0
1332,109,CN,85860,C,24,0,,5.31621,2.04288,0.17088,AMARELA,1086,,0
1331,110,CN,44969,B,25,0,,3.07166,1.89127,0.25272,AMARELA,1086,,0
1330,111,CN,78377,B,6,0,,0.60239,2.40137,0.12017,AMARELA,1086,,0
1329,112,CN,97761,C,17,0,,0.8924,1.01697,0.29789,AMARELA,1086,,0
1328,113,CN,78716,C,14,0,,2.02681,0.56741,0.2452,AMARELA,1086,,0
1327,114,CN,141726,A,11,0,,1.68577,1.10708,0.12014,AMARELA,1086,,0
1326,115,CN,87998,E,3,0,,2.14355,1.77912,0.08867,AMARELA,1086,,0
1325,116,CN,141547,B,10,0,,1.90673,1.4644,0.34041,AMARELA,1086,,0
1324,117,CN,98106,E,13,0,,2.46518,1.46748,0.06515,AMARELA,1086,,0
1323,118,CN,111558,D,21,0,,3.29206,1.65709,0.14008,AMARELA,1086,,0
1322,119,CN,81969,A,21,0,,2.00512,1.35453,0.16882,AMARELA,1086,,0
1321,120,CN,141597,B,26,0,,2.13571,1.60964,0.14865,AMARELA,1086,,0
1320,121,CN,141725,E,29,0,,1.82114,1.93167,0.06674,AMARELA,1086,,0
1319,122,CN,141574,A,27,0,,0.69982,1.45358,0.03441,AMARELA,1086,,0
1318,123,CN,18228,D,30,0,,1.95358,1.46498,0.11246,AMARELA,1086,,0
1317,124,CN,111668,B,23,0,,1.98964,1.87763,0.19415,AMARELA,1086,,0
1316,125,CN,111694,A,27,0,,2.07884,2.23408,0.17191,AMARELA,1086,,0
1315,126,CN,89554,D,7,1,BLG não rodou,,,,AMARELA,1086,,0
1314,127,CN,141605,D,19,1,Bilog não converge,,,,AMARELA,1086,,0
1313,128,CN,117854,C,15,0,,3.55169,1.49398,0.20257,AMARELA,1086,,0
1312,129,CN,141545,B,12,0,,2.33494,1.44802,0.20932,AMARELA,1086,,0
1311,130,CN,96189,D,22,0,,2.54149,1.20769,0.21012,AMARELA,1086,,0
1310,131,CN,141712,D,16,0,,1.87507,0.91052,0.15109,AMARELA,1086,,0
1309,132,CN,43073,A,17,0,,1.48588,0.96735,0.24215,AMARELA,1086,,0
1308,133,CN,64203,A,5,1,bisblg < -0.15,,,,AMARELA,1086,,0
1307,134,CN,96244,E,15,0,,5.67249,1.52791,0.14273,AMARELA,1086,,0
1306,135,CN,37769,B,14,0,,1.78429,2.50062,0.27071,AMARELA,1086,,0
