"Q1","Q2","Q3","Q4","Q5","Q6","Q7","Q8","Q9","Q10","Q11","Q12","Q13","Q14","Q15","Q16","Q17","Q18","Q19","Q20","Q21","Q22","Q23","Q24","Q25","Q26","Q27","Q28","Q29","Q30","Q31","Q32","Q33","Q34","Q35","Q36","Q37","Q38","Q39","Q41","Q42","Q43","Q44","Q45","Obs","Exp","habilidade","se.z1","respostas","Ocorrência","alunos_id_string"
"4819",0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,-1.44059163863693,0.798698215997412,"01100000000100000000000001100000000010010000",1,"210057715141"
"3224",0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,-1.30731966156931,0.731637396819376,"00100000000011000000000011000000000010010000",1,"210057638944"
"3301",0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,-1.29871637372444,0.810744058637687,"00100001000000000001000001100001000000011000",1,"210056753271"
"3441",0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,-1.25772228205896,0.687515980483948,"00101000000000100001000010100000000000000010",1,"210054579943"
"192",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0.001,-1.2298497009919,0.717431133531873,"00000000000010000000000001000001000000000001",1,"210055144470"
"5802",1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,1,1,0,-1.22399935536631,0.720384506503212,"10100010000000000000000001000001011000010001",1,"210055041533"
"1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.135,-1.22318382819169,0.647340414759757,"00000000000000000000000000000000000000000000",2,"210054575969, 210056704829"
"18",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0.014,-1.22259135579844,0.64772336866472,"00000000000000000000000010000000001000000000",1,"210054900376"
"2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0.002,-1.2225866846227,0.647728865573457,"00000000000000000000000000000000011000010000",1,"210054520833"
"106",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0.003,-1.2223631845662,0.647890810460872,"00000000000000010000000000000000001000000010",1,"210057262204"
"5778",1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,-1.21897061702032,0.649652475975252,"10100000000010000000000000000000000001011000",1,"210054952536"
"2054",0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.001,-1.21747247748673,0.649880467372185,"00001010000000000000010000000000000000000000",1,"210054600461"
"5070",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,-1.2168625266581,0.651159357062432,"10000000000000000000000010000000000000001011",1,"210054901871"
"241",0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,-1.2166495061941,0.650156946219228,"00000000000011000000010010000000001010000000",1,"210054570471"
"198",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,1,1,1,0,-1.21473093588022,0.651003008498866,"00000000000010000000010000000000000011011011",1,"210057276714"
"997",0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0.001,-1.2123280404845,0.729700171498931,"00000010000000100000000001000000000000000100",1,"210054478581"
"2058",0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,1,0,1,0,-1.21103041005059,0.882143076642901,"00001010000000100000000001100000101000010110",1,"210057195914"
"4898",0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,-1.21101765293004,0.731924719184352,"01101000000001000001000001010000001001000000",1,"210054726714"
"74",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,1,0,-1.20894473051929,0.748500801739023,"00000000000000000100000001110000010011001000",1,"210057632213"
"17",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0.005,-1.20139645675068,0.643345040079098,"00000000000000000000000010000000000101000000",1,"210055202747"
"107",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0.002,-1.20118223304514,0.643493468304502,"00000000000000010000000010000000000100000000",1,"210055255663"
"985",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,-1.20036615516537,0.736977008764197,"00000010000000000000010000100000100100000000",1,"210056864581"
"1014",0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,-1.19943301779957,0.643104076554943,"00000010000010000001010000000000000101000010",1,"210054721967"
"2307",0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,-1.19907983970314,0.72609257100873,"00010000000010000000000011000000001001000000",1,"210057153498"
"3674",0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,1,0,1,0,-1.19675490677721,0.698089135547673,"01000000000010000000100001000000011010010010",1,"210054653994"
"3326",0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,-1.19654714074096,0.698591806920186,"00100010000010011000000001000000000000000011",1,"210056838258"
