questao,dificuldade_item,acerto_acaso_item,discriminacao_item,dificuldade_item_normalizado,classificacao_dificuldade
1,0.133069905062226,0.176297637932004,1.85418197898056,613.3069905062225,Media
2,0.466688037354793,0.225413081387698,1.530549666986,646.6688037354793,Media
3,0.401734856882605,0.194287082779462,0.867460821621947,640.1734856882605,Media
4,-0.170155585644996,0.231789764148066,1.65610852343869,582.9844414355005,Media
5,-0.247756208261331,0.341156574997068,2.01888262766108,575.224379173867,Media
6,0.378757101314529,1.29839258787825e-05,0.623513054883746,637.8757101314529,Media
7,-1.36458209902583,0.0002925053118336,0.148360445487662,463.54179009741705,Muito facil
8,-0.956730506253885,2.4239494997656402e-09,0.77010664703206,504.3269493746115,Facil
9,-1.01553219028297,1.73033471848332e-08,1.05080419906828,498.446780971703,Facil
10,-1.59198717239232,1.19588364493485e-07,0.884023972214194,440.801282760768,Muito facil
11,2.81566326374635,0.0388352250380006,2.13180235237031,881.566326374635,Muito dificil
12,2.5667220532109,0.0903778344900244,2.39739837755981,856.67220532109,Muito dificil
13,1.58824678949197,0.0027879072564976,0.301937435359731,758.824678949197,Muito dificil
14,1.61393845590722,0.0937448011469903,2.64932667429265,761.3938455907221,Muito dificil
15,0.710712595602703,0.128892636718549,0.634972632492386,671.0712595602704,Dificil
16,-0.79621364430043,0.0002163504535738,0.327641345349807,520.378635569957,Facil
17,1.41932497997754,0.242223069083271,1.38137283572921,741.932497997754,Muito dificil
18,-2.0904518706471,8.90161042981553e-12,0.962550003939158,390.95481293528997,Muito facil
19,3.53749167781302,0.108128249060912,0.663577893818968,953.749167781302,Muito dificil
20,0.85504192610251,0.345907327699,1.11116155507029,685.504192610251,Dificil
21,-0.106417687271014,9.70881971483294e-06,0.305902217426251,589.3582312728986,Media
22,0.788359505618308,2.69064479098275e-07,0.466606478372547,678.8359505618307,Dificil
23,0.183511771058182,0.00023548995726,0.839885371346787,618.3511771058181,Media
24,3.17445555594219,0.0535218338373746,1.46677653771309,917.4455555942191,Muito dificil
25,0.397833109299391,0.0002192500799554,0.62857027795746,639.7833109299391,Media
26,2.43588330849381,0.187825818683491,2.23183722803214,843.588330849381,Muito dificil
27,0.797105491001415,0.187298290200445,1.01569542159466,679.7105491001414,Dificil
28,1.4259678747388,0.154735684818567,1.47151414989601,742.59678747388,Muito dificil
29,2.25901780547608,8.45506504830031e-05,0.396565797600736,825.901780547608,Muito dificil
30,2.08795789514239,0.198604727005413,1.41422405738622,808.795789514239,Muito dificil
31,2.40732674318954,0.117412517121615,0.864580653823564,840.732674318954,Muito dificil
32,-1.81705804842804,0.0754684375408473,1.57102006474904,418.294195157196,Muito facil
33,0.462184623314079,0.124336314191628,1.77513427934801,646.2184623314079,Media
34,-0.934455083616862,4.3111890305891005e-10,0.840793773826939,506.5544916383138,Facil
35,1.09551802872552,0.279127308162136,1.28240687259843,709.551802872552,Dificil
36,-0.452980181119792,0.0980317149143371,1.60375965559848,554.7019818880208,Media
37,1.38312248809213,0.121549041377041,1.42672487202109,738.3122488092131,Muito dificil
38,1.6365373006058,0.124065405434104,1.31491763489058,763.6537300605801,Muito dificil
39,-0.0868754337210383,1.00103292410455e-07,0.544286720785697,591.3124566278962,Media
40,0.560581751254181,0.278338413036489,1.23964539773963,656.0581751254181,Dificil
41,0.209406490634884,5.75475023807803e-08,0.690826732661149,620.9406490634884,Media
42,-0.188636277428228,0.198452043754538,1.55825837803771,581.1363722571772,Media
43,-1.56383936213337,6.89270522874651e-07,0.550873315023859,443.61606378666295,Muito facil
44,-0.477739750410883,6.52729528253206e-06,1.26507614278913,552.2260249589117,Media
45,1.17020007607382,0.0008434831010503,0.396318637797272,717.020007607382,Dificil
